Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:30 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:30 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:30 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:30 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:30 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:30 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:30 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:30 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:30 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:30 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:30 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:30 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:30 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:30 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:30 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:30 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:14:31 PM', MESSAGE='Error converting data type varchar to float.']
CustCustom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:16 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:16 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:16 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:16 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:16 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:16 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:17 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:17 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:17 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:17 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:17 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:17 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:17 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:17 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:17 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:17 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:17 PM', MESSAGE='Error converting data type varchar to float.']
Custom Log Warning: 0 : [TAG='DBConnection', Time='5/27/2023 12:16:17 PM', MESSAGE='Error converting data type varchar to float.']
